Account,Symbol,Quantity,Price,Market Value
IRA (Alex),SPAXX,15234.56,1.00,15234.56
IRA (Alex),FNILX,2500.123,18.45,46127.27
IRA (Alex),FZILX,1800.45,14.23,25620.40
IRA (Alex),VGK,350.00,68.50,23975.00
IRA (Alex),NUKZ,120.00,52.30,6276.00
Joint WROS,FNILX,3200.789,18.45,59070.56
Joint WROS,FZILX,2100.234,14.23,29881.33
Joint WROS,IAU,850.00,42.15,35827.50
Joint WROS,BIL,400.00,91.25,36500.00
Joint WROS,FZFXX,8500.00,1.00,8500.00
Roth IRA (Alex),SHLD,180.00,45.80,8244.00
Roth IRA (Alex),FNILX,1500.567,18.45,27685.46
Roth IRA (Alex),IAU,250.00,42.15,10537.50
Roth IRA (Alex),FZFXX,3200.00,1.00,3200.00
Taxable (Alex),FNILX,4500.234,18.45,83029.32
Taxable (Alex),FZILX,3200.567,14.23,45536.07
Taxable (Alex),VGK,600.00,68.50,41100.00
Taxable (Alex),IAU,500.00,42.15,21075.00
Taxable (Alex),BIL,200.00,91.25,18250.00
Taxable (Alex),FCASH,2500.00,1.00,2500.00
